timestamp,src,dst,host,uri,user_agent
2025-11-02T21:34:23.004688,10.0.2.15,34.236.82.201,httpbin.org,/get/,CCNS-Demo/1.0
2025-11-02T21:34:23.866704,34.236.82.201,10.0.2.15,N/A,/get/,N/A
2025-11-02T21:34:24.674608,10.0.2.15,18.207.14.107,httpbin.org,/get/somepage,CCNS-Demo/1.0
2025-11-02T21:34:24.937532,18.207.14.107,10.0.2.15,N/A,/get/somepage,N/A
2025-11-02T21:34:25.867152,10.0.2.15,3.211.176.227,httpbin.org,/get/profile,CCNS-Demo/1.0
2025-11-02T21:34:27.057093,3.211.176.227,10.0.2.15,N/A,/get/profile,N/A
2025-11-02T21:34:27.981715,10.0.2.15,52.20.222.128,httpbin.org,/get/anything/test,CCNS-Demo/1.0
2025-11-02T21:34:28.275835,52.20.222.128,10.0.2.15,N/A,/get/anything/test,N/A
2025-11-02T21:34:29.423136,10.0.2.15,44.205.165.147,httpbin.org,/anything/,CCNS-Demo/1.0
2025-11-02T21:34:30.915625,44.205.165.147,10.0.2.15,N/A,/anything/,N/A
2025-11-02T21:34:32.360724,10.0.2.15,44.205.165.147,httpbin.org,/anything/somepage,CCNS-Demo/1.0
2025-11-02T21:34:32.622611,44.205.165.147,10.0.2.15,N/A,/anything/somepage,N/A
2025-11-02T21:34:34.038142,10.0.2.15,54.85.23.59,httpbin.org,/anything/profile,CCNS-Demo/1.0
2025-11-02T21:34:34.306084,54.85.23.59,10.0.2.15,N/A,/anything/profile,N/A
2025-11-02T21:34:35.085378,10.0.2.15,44.205.165.147,httpbin.org,/anything/anything/test,CCNS-Demo/1.0
2025-11-02T21:34:35.348348,44.205.165.147,10.0.2.15,N/A,/anything/anything/test,N/A
2025-11-02T21:34:36.240128,10.0.2.15,44.205.165.147,httpbin.org,/uuid/,CCNS-Demo/1.0
2025-11-02T21:34:36.543887,44.205.165.147,10.0.2.15,N/A,/uuid/,N/A
2025-11-02T21:34:37.892116,10.0.2.15,18.207.14.107,httpbin.org,/uuid/somepage,CCNS-Demo/1.0
2025-11-02T21:34:39.003418,18.207.14.107,10.0.2.15,N/A,/uuid/somepage,N/A
2025-11-02T21:34:40.537296,10.0.2.15,44.205.165.147,httpbin.org,/uuid/profile,CCNS-Demo/1.0
2025-11-02T21:34:40.968846,44.205.165.147,10.0.2.15,N/A,/uuid/profile,N/A
2025-11-02T21:34:41.824057,10.0.2.15,18.207.14.107,httpbin.org,/uuid/anything/test,CCNS-Demo/1.0
2025-11-02T21:34:42.517394,18.207.14.107,10.0.2.15,N/A,/uuid/anything/test,N/A
2025-11-02T21:34:43.690699,10.0.2.15,66.241.125.232,httpbingo.org,/get/,CCNS-Demo/1.0
2025-11-02T21:34:43.972922,66.241.125.232,10.0.2.15,N/A,/get/,N/A
2025-11-02T21:34:45.041926,10.0.2.15,66.241.125.232,httpbingo.org,/get/somepage,CCNS-Demo/1.0
2025-11-02T21:34:45.312330,66.241.125.232,10.0.2.15,N/A,/get/somepage,N/A
2025-11-02T21:34:46.518524,10.0.2.15,66.241.125.232,httpbingo.org,/get/profile,CCNS-Demo/1.0
2025-11-02T21:34:46.787195,66.241.125.232,10.0.2.15,N/A,/get/profile,N/A
2025-11-02T21:34:47.326487,10.0.2.15,66.241.125.232,httpbingo.org,/get/anything/test,CCNS-Demo/1.0
2025-11-02T21:34:47.608021,66.241.125.232,10.0.2.15,N/A,/get/anything/test,N/A
2025-11-02T21:34:50.561226,10.0.2.15,91.189.91.98,connectivity-check.ubuntu.com.,/,N/A
2025-11-02T21:34:50.787677,91.189.91.98,10.0.2.15,N/A,/,N/A
2025-11-02T21:34:52.034458,10.0.2.15,3.211.176.227,httpbin.org,/get/,CCNS-Demo/1.0
2025-11-02T21:34:52.438763,3.211.176.227,10.0.2.15,N/A,/get/,N/A
2025-11-02T21:34:53.213153,10.0.2.15,44.205.165.147,httpbin.org,/get/somepage,CCNS-Demo/1.0
2025-11-02T21:34:53.610310,44.205.165.147,10.0.2.15,N/A,/get/somepage,N/A
2025-11-02T21:34:54.853930,10.0.2.15,54.85.23.59,httpbin.org,/get/profile,CCNS-Demo/1.0
2025-11-02T21:34:55.454096,54.85.23.59,10.0.2.15,N/A,/get/profile,N/A
2025-11-02T21:34:56.497336,10.0.2.15,52.20.222.128,httpbin.org,/get/anything/test,CCNS-Demo/1.0
2025-11-02T21:34:56.788855,52.20.222.128,10.0.2.15,N/A,/get/anything/test,N/A
2025-11-02T21:34:58.033900,10.0.2.15,18.207.14.107,httpbin.org,/anything/,CCNS-Demo/1.0
2025-11-02T21:34:59.393321,18.207.14.107,10.0.2.15,N/A,/anything/,N/A
2025-11-02T21:35:00.705699,10.0.2.15,34.236.82.201,httpbin.org,/anything/somepage,CCNS-Demo/1.0
2025-11-02T21:35:01.433924,34.236.82.201,10.0.2.15,N/A,/anything/somepage,N/A
2025-11-02T21:35:02.231128,10.0.2.15,54.85.23.59,httpbin.org,/anything/profile,CCNS-Demo/1.0
2025-11-02T21:35:05.232432,54.85.23.59,10.0.2.15,N/A,/anything/profile,N/A
2025-11-02T21:35:06.279566,10.0.2.15,3.211.176.227,httpbin.org,/anything/anything/test,CCNS-Demo/1.0
